symbol,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,DU-145,HCT-116,HCT-15,HOP-92,HS 578T,IGROV1,K-562,KM12,LOX IMVI,MCF7,MDA-MB-231/ATCC,MDA-MB-468,NCI-H23,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-8,PC-3,RPMI-8226,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SNB-75,SR,SW-620,T-47D,U251,UACC-257,UACC-62
ABCA1,0,1,0,0,1,0,1,0,0,-1,-1,0,0,0,1,0,0,-1,0,1,0,-1,-1,-1,0,-1,0,0,1,0,0,1,0,1,0,0,1,1,-2,-1
ABCC1,0,1,0,1,-1,0,-1,0,0,-1,-1,0,0,0,0,1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,0,0,1,-1,0,-1,0,0,0,0,-1,1
ABCC8,0,1,0,0,-1,-1,-1,0,0,-1,-1,-1,0,0,1,-2,0,-1,-1,-1,1,0,-1,-1,1,-1,1,-1,0,0,1,0,0,-1,0,1,-1,0,-1,-1
ABCF2,1,1,0,1,0,1,0,0,2,2,1,1,1,1,-1,1,1,0,1,1,1,0,2,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,0,1
ABHD5,0,-1,-1,0,0,-1,-1,0,0,0,1,-1,1,0,0,-1,0,-1,-1,-1,0,0,-1,1,1,0,1,0,0,1,0,1,-1,0,0,0,1,0,-1,-1
ABI1,0,1,0,0,0,0,-1,0,0,1,-1,0,0,0,0,0,0,-1,0,-1,1,-1,1,-1,-1,0,-1,-1,-1,0,-1,-1,0,-1,0,0,-1,-1,-1,-1
ABI2,0,1,0,1,-1,0,-1,0,0,0,1,0,-1,0,1,0,0,0,0,1,1,0,0,-1,0,0,1,0,1,0,1,-1,0,-1,0,1,-1,0,2,1
ABL1,0,0,-1,-1,1,-1,0,-1,0,-1,-1,0,1,0,1,-1,0,0,-1,1,-1,-1,-1,1,0,1,-1,0,1,-1,-1,0,0,1,0,-1,1,1,-1,-1
ABL2,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,2,-1,-2,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1
ABLIM1,0,-1,0,1,-2,0,0,2,0,0,-1,0,-1,0,-1,-1,0,-1,-1,1,1,1,2,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1
ABLIM2,0,-1,-1,-1,-1,1,0,-1,0,-1,-1,-1,0,0,1,-1,-1,-1,1,-2,-1,-1,-1,-1,0,-1,-1,0,1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1
ABLIM3,0,1,0,0,1,1,-1,-1,0,0,-1,0,0,0,1,1,0,0,1,1,1,1,2,1,2,0,1,1,1,1,1,-1,0,0,1,0,1,1,-1,-1
ABRAXAS1,-1,-1,-1,0,-1,0,-1,0,0,-1,-1,-1,0,0,-1,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1
ACAA1,0,-1,0,0,0,-1,-1,0,0,0,1,-1,1,0,0,-1,0,-1,-1,-1,0,0,0,1,1,0,1,0,0,1,0,1,-1,0,0,0,1,0,-1,-1
ACACA,0,1,1,1,-1,0,0,0,0,0,-1,0,0,0,1,-1,0,-1,0,1,1,-1,-1,-1,-1,0,1,1,0,1,0,0,0,-1,0,0,1,1,0,0
ACADM,1,0,-1,0,1,-1,-1,0,0,1,1,0,0,0,0,-1,1,1,0,0,1,0,1,1,1,-1,1,0,1,1,1,-1,-1,1,0,0,-1,1,1,-1
ACIN1,0,-1,0,0,-1,-1,-1,0,0,1,-1,0,0,0,0,-1,0,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,0,-1,-1,0,0,0,0,-1,-1,-1,0
ACOX1,0,1,1,1,-1,1,0,1,0,1,-1,0,0,-1,1,-1,0,1,0,1,1,0,-1,1,1,0,1,1,-1,1,0,1,0,-1,0,1,1,1,-1,0
